Time,Temp_C,Vib_Mag_g,X_g,Y_g,Z_g,Sound_dBr
13:06:35,26.8125,1.055533514852353,-0.0078125,-0.2421875,1.02734375,-90
13:06:38,26.9375,1.0594222426781732,-0.015625,-0.2421875,1.03125,-90
13:06:40,26.9375,1.0556852919061035,-0.01953125,-0.2421875,1.02734375,-90
13:06:42,27.0,1.048084073254324,-0.01953125,-0.2421875,1.01953125,-90
13:06:45,26.9375,0.9908717284424672,-0.0703125,-0.15234375,0.9765625,-90
13:06:47,27.0,1.051804508741703,-0.10546875,-0.0859375,1.04296875,-90
13:06:49,27.0,1.0881974012027298,-0.06640625,-0.31640625,1.0390625,-90
13:06:51,27.0,1.0692998174550368,-0.01171875,-0.7734375,0.73828125,-90
13:06:54,27.0,1.0703837795608055,-0.01171875,-0.93359375,0.5234375,-90
13:06:56,27.0,1.0659482762024912,0.0,-0.96484375,0.453125,-14.640651572664192
13:06:58,27.0,1.1116009797950206,-0.1953125,-0.1875,1.078125,-90
13:07:00,27.0625,1.052645592847196,-0.08984375,-0.26171875,1.015625,-16.534368973927883
13:07:03,27.0625,1.055793690728834,-0.09375,-0.2578125,1.01953125,-90
13:07:05,27.0625,1.05202209495868,-0.09375,-0.2578125,1.015625,-90
13:07:07,27.0625,1.0636339307637168,-0.0859375,-0.26171875,1.02734375,-90
13:07:09,27.0625,1.052645592847196,-0.08984375,-0.26171875,1.015625,-90
13:07:11,27.0625,1.0577429699268568,-0.08203125,-0.26953125,1.01953125,-90
13:07:14,27.0625,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-19.494460916817186
13:07:16,27.0625,1.0496334344330345,-0.07421875,-0.26953125,1.01171875,-90
13:07:18,27.0625,1.049916872639508,-0.078125,-0.26953125,1.01171875,-90
13:07:20,27.0625,1.056176610801018,-0.07421875,-0.265625,1.01953125,-90
13:07:23,27.0625,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-19.494460916817186
13:07:25,27.0625,1.053978349553787,-0.08203125,-0.26953125,1.015625,-90
13:07:27,27.0625,1.056458293533901,-0.078125,-0.265625,1.01953125,-19.494460916817186
13:07:29,27.0625,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:07:32,27.0625,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-19.494460916817186
13:07:34,27.0625,1.0526890789188421,-0.078125,-0.265625,1.015625,-19.494460916817186
13:07:36,27.0625,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:07:38,27.0625,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:07:41,27.0625,1.056176610801018,-0.07421875,-0.265625,1.01953125,-90
13:07:43,27.125,1.056458293533901,-0.078125,-0.265625,1.01953125,-90
13:07:45,27.125,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-19.494460916817186
13:07:47,27.125,1.0489208670588848,-0.078125,-0.265625,1.01171875,-19.494460916817186
13:07:50,27.125,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-19.494460916817186
13:07:52,27.125,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:07:54,27.125,1.059184567600089,-0.07421875,-0.27734375,1.01953125,-90
13:07:56,27.125,1.0577429699268568,-0.08203125,-0.26953125,1.01953125,-90
13:07:59,27.1875,1.0524063873340765,-0.07421875,-0.265625,1.015625,-90
13:08:01,27.125,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-19.494460916817186
13:08:03,27.125,1.0526890789188421,-0.078125,-0.265625,1.015625,-90
13:08:05,27.125,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-90
13:08:07,27.1875,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:08:10,27.125,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-19.494460916817186
13:08:12,27.125,1.0521381225420217,-0.0703125,-0.265625,1.015625,-90
13:08:14,27.1875,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-19.445400539936692
13:08:16,27.1875,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-16.434526764861875
13:08:19,27.1875,1.0554829176510272,-0.078125,-0.26171875,1.01953125,-90
13:08:21,27.1875,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:08:23,27.125,1.0546875,-0.078125,-0.2734375,1.015625,-90
13:08:25,27.125,1.0557069725610713,-0.078125,-0.27734375,1.015625,-19.494460916817186
13:08:28,27.1875,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-90
13:08:30,27.125,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-16.534368973927883
13:08:32,27.125,1.0529861856769833,-0.08203125,-0.265625,1.015625,-90
13:08:34,27.1875,1.0619325805643514,-0.07421875,-0.2734375,1.0234375,-90
13:08:37,27.1875,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-19.494460916817186
